nome,sexo,data_nascimento,serie,nota_bim1,nota_bim2,nota_bim3,nota_bim4
Aline Carvalho,M,2009-03-27,6º Ano,,7.3,4.1,9.0
Beatriz Ferreira,M,2005-10-14,3º EM,7.1,8.9,4.6,6.7
Rafael Silva,M,2005-01-28,7º Ano,9.9,1.6,3.0,3.8
Gustavo Pereira,M,2008-07-16,9º Ano,7.7,6.5,5.2,5.4
Maria Pereira,F,2013-03-18,7º Ano,7.6,2.9,7.7,5.9
Camila Gomes,F,2010-01-11,7º Ano,9.6,8.2,0.7,9.6
Fernanda Dias,F,2006-02-22,8º Ano,4.4,8.6,6.3,3.3
Lucas Martins,,2005-06-29,8º Ano,4.2,0.3,6.0,3.8
Gustavo Barbosa,M,2006-01-15,2º EM,7.2,5.4,4.6,3.6
Fernanda Almeida,F,2012-06-25,1º EM,3.5,2.9,4.2,9.3
Juliana Almeida,M,2006-08-06,2º EM,3.8,2.2,2.0,1.9
Diego Carvalho,M,2006-06-02,1º EM,5.3,9.3,8.9,
Rodrigo Martins,F,2013-11-11,6º Ano,2.8,8.1,0.0,8.4
Carlos Souza,M,2005-03-28,3º EM,6.3,10.0,2.4,
Beatriz Oliveira,F,2008-04-10,,5.3,7.3,0.7,2.4
Pedro Almeida,M,2009-10-30,3º EM,2.1,1.5,8.1,6.3
Aline Pereira,,2011-06-07,3º EM,3.0,8.1,7.3,3.6
Pedro Oliveira,,2010-05-08,6º Ano,9.9,1.5,6.2,4.1
Mariana Silva,F,2007-12-23,1º EM,9.3,,0.6,7.6
Mariana Moreira,M,2010-04-07,3º EM,7.8,6.7,3.0,7.8
Rodrigo Rocha,M,2005-05-31,6º Ano,7.8,2.1,4.1,7.9
Fernanda Rocha,M,2013-08-15,6º Ano,9.8,0.6,4.0,6.1
João Dias,M,2008-06-03,3º EM,3.9,3.4,8.7,8.9
Juliana Oliveira,F,2008-11-07,7º Ano,6.1,,4.9,2.2
Patricia Ferreira,F,2010-11-07,6º Ano,8.7,3.8,2.8,3.8
Aline Oliveira,M,2013-12-27,3º EM,3.2,9.3,7.4,0.5
Ana Martins,M,2010-06-02,6º Ano,0.4,2.3,5.9,3.5
João Martins,F,2007-04-28,3º EM,3.8,,1.8,6.0
Lucas Lima,M,2011-10-31,7º Ano,2.7,8.1,9.1,2.7
Beatriz Araújo,F,2012-03-01,2º EM,2.9,3.5,0.4,8.3
Rafael Martins,M,2010-11-29,8º Ano,8.5,0.2,8.9,9.7
Rodrigo Almeida,M,2011-05-03,9º Ano,1.6,2.0,1.4,7.8
Felipe Moreira,F,2008-07-15,8º Ano,3.5,2.1,7.4,8.6
Rafael Lima,M,2005-02-21,3º EM,4.3,7.5,9.6,1.9
Pedro Silva,F,2009-06-20,9º Ano,6.8,5.6,5.6,1.4
Pedro Moreira,M,2013-08-17,1º EM,9.1,5.6,6.3,4.9
Pedro Silva,F,2012-03-31,9º Ano,6.2,3.7,7.8,8.1
Pedro Silva,M,2010-10-02,2º EM,8.8,5.6,6.8,4.1
Fernanda Barbosa,M,2009-11-15,9º Ano,8.7,9.1,5.3,9.1
Beatriz Lima,M,2012-09-06,8º Ano,8.9,1.2,2.8,0.3
Camila Silva,M,2011-01-15,1º EM,3.2,0.3,8.1,3.0
Maria Lima,F,2012-02-28,7º Ano,0.6,4.2,,0.8
Fernanda Araújo,M,2013-12-07,6º Ano,4.8,,7.3,5.0
João Araújo,M,2012-06-23,6º Ano,8.2,9.3,4.9,3.4
Felipe Oliveira,F,2011-09-10,6º Ano,4.0,5.5,4.9,9.5
Beatriz Carvalho,F,2010-06-15,1º EM,3.7,0.1,9.0,3.0
João Carvalho,F,2010-11-03,6º Ano,10.0,6.1,2.9,2.1
Carlos Santos,F,2012-07-01,8º Ano,1.3,2.0,9.7,1.2
Camila Pereira,M,2009-09-15,1º EM,9.4,6.1,1.2,6.5
Mariana Carvalho,M,2009-03-15,1º EM,8.0,0.7,0.4,1.8
Aline Martins,M,2010-09-21,7º Ano,,8.6,0.1,2.4
Ana Dias,M,2005-05-11,7º Ano,1.8,5.1,0.7,1.3
Lucas Ribeiro,F,2013-06-17,2º EM,0.7,0.3,8.1,1.3
Juliana Moreira,F,2012-03-28,3º EM,5.6,4.9,7.9,9.4
Rodrigo Araújo,M,2007-01-14,3º EM,1.4,2.0,,6.3
Juliana Almeida,M,2013-02-20,,0.4,5.0,4.3,5.7
Aline Araújo,M,2005-12-05,2º EM,6.2,1.6,0.6,2.6
Mariana Dias,M,2010-06-18,8º Ano,9.7,7.6,4.4,7.4
Camila Santos,F,,6º Ano,5.2,4.2,2.3,1.9
Fernanda Dias,M,2007-12-09,8º Ano,5.1,4.1,0.8,7.3
Fernanda Almeida,F,2006-11-28,6º Ano,5.9,5.9,9.7,
Maria Carvalho,F,2008-10-03,9º Ano,8.6,4.2,7.2,3.5
Pedro Almeida,M,2008-10-12,1º EM,7.5,7.1,0.3,9.9
Larissa Lima,F,2011-03-21,8º Ano,6.7,6.9,4.4,7.0
Bruno Gomes,F,2009-05-22,6º Ano,5.0,2.5,8.1,8.0
Rodrigo Santos,F,2005-10-28,7º Ano,6.8,7.9,5.1,0.4
Maria Souza,M,2013-02-09,7º Ano,1.4,5.4,8.8,9.4
Gustavo Santos,F,2010-02-14,3º EM,5.7,2.0,0.9,5.3
Rodrigo Dias,F,2009-05-07,1º EM,0.9,9.0,3.8,8.1
Larissa Teixeira,F,2011-06-06,9º Ano,2.8,6.2,0.6,8.3
Aline Santos,M,2013-09-25,8º Ano,,4.3,0.1,2.6
Felipe Araújo,M,2008-10-08,8º Ano,8.9,2.0,3.5,9.8
Rodrigo Lima,M,2005-03-08,2º EM,9.8,4.0,7.2,5.9
Pedro Almeida,F,2007-02-14,9º Ano,8.4,5.3,5.6,4.0
Diego Teixeira,M,2011-07-30,8º Ano,1.6,0.9,1.5,9.0
Beatriz Lima,M,2005-12-28,2º EM,7.3,2.5,0.3,2.1
Aline Oliveira,F,2012-01-18,6º Ano,4.7,0.7,8.2,3.4
Fernanda Ferreira,F,2009-01-28,8º Ano,3.7,1.1,7.7,1.2
Beatriz Pereira,F,2005-02-22,8º Ano,9.7,8.9,0.9,7.0
Gustavo Souza,M,2008-12-12,9º Ano,1.0,1.2,8.0,1.1
Felipe Silva,F,2007-07-28,8º Ano,8.4,7.4,2.6,8.4
Larissa Costa,F,2009-07-20,2º EM,9.0,8.0,9.5,7.0
Fernanda Lima,M,2010-12-20,2º EM,4.8,7.4,3.6,6.1
Ana Araújo,M,2010-08-15,6º Ano,4.2,7.8,3.1,
Beatriz Dias,F,2013-02-12,9º Ano,3.8,1.4,1.8,8.2
João Dias,F,2005-09-02,1º EM,4.3,2.4,2.0,
,M,2012-03-01,8º Ano,0.4,10.0,4.2,6.6
Patricia Ferreira,F,2008-03-24,7º Ano,6.4,4.3,3.5,3.2
Diego Dias,F,2010-07-20,1º EM,5.6,8.0,3.8,7.6
Maria Rocha,F,2013-07-28,1º EM,1.3,6.3,3.2,9.8
Maria Melo,F,2012-01-25,8º Ano,3.7,6.8,8.2,9.9
Larissa Souza,F,2013-01-29,9º Ano,,9.1,3.6,3.9
Mariana Gomes,F,2007-08-14,3º EM,8.5,9.8,7.0,
Rafael Pereira,F,2011-02-07,1º EM,8.8,4.8,5.8,7.4
Bruno Barbosa,M,2010-06-05,8º Ano,8.5,6.3,7.1,8.0
Aline Gomes,F,2006-12-29,1º EM,5.4,6.9,6.7,0.6
Diego Pereira,F,2006-09-22,3º EM,9.9,6.6,3.7,8.2
Gustavo Oliveira,F,2011-01-07,8º Ano,3.5,7.3,1.1,1.7
Rodrigo Martins,F,2009-12-26,7º Ano,3.2,4.3,7.1,0.8
Beatriz Dias,M,2009-03-31,8º Ano,6.1,0.0,5.1,9.3
Diego Moreira,M,2013-06-06,3º EM,1.9,,9.3,3.8
Patricia Santos,M,2010-03-05,3º EM,1.3,1.7,2.8,5.0
Rodrigo Dias,F,2005-06-30,9º Ano,8.5,0.6,,6.4
Diego Oliveira,F,2005-02-11,9º Ano,4.4,7.1,1.6,5.9
Diego Santos,M,2006-07-06,3º EM,7.4,2.2,0.1,9.1
Rodrigo Dias,M,2010-02-13,1º EM,6.5,3.3,,7.4
Diego Pereira,F,2007-03-03,8º Ano,7.0,2.5,5.7,5.5
Diego Rocha,F,2005-03-28,2º EM,8.7,7.5,9.6,5.8
Maria Ribeiro,M,2007-11-17,7º Ano,2.3,2.5,7.3,4.2
Aline Gomes,M,2013-12-17,1º EM,0.8,6.4,9.3,
Fernanda Ribeiro,M,2008-12-12,6º Ano,4.6,8.8,7.6,4.4
Bruno Carvalho,F,2012-09-06,8º Ano,7.2,8.6,3.4,8.8
Patricia Silva,M,2008-01-19,9º Ano,7.3,0.2,2.4,0.9
Juliana Pereira,F,2009-11-14,6º Ano,2.6,1.5,,3.1
Felipe Oliveira,F,2012-02-11,8º Ano,3.7,2.6,4.1,
Aline Lima,M,2009-09-18,,7.2,7.8,4.8,4.7
Gustavo Lima,M,2005-01-02,6º Ano,7.3,5.1,0.5,5.8
Fernanda Dias,F,2006-03-21,7º Ano,2.3,9.3,2.0,9.2
Rafael Carvalho,M,2011-12-05,6º Ano,7.1,4.6,1.5,2.2
Patricia Santos,F,2005-09-14,2º EM,7.0,9.7,1.4,6.6
Aline Moreira,F,2010-09-22,2º EM,5.5,0.6,0.2,2.0
Mariana Almeida,F,2008-12-25,6º Ano,2.7,1.0,3.3,5.7
Larissa Carvalho,Feminino,2012-12-06,8º Ano,0.7,4.7,0.1,3.0
Larissa Silva,M,2005-12-30,9º Ano,0.4,6.5,3.1,7.6
Gustavo Moreira,F,2005-12-06,7º Ano,2.0,1.4,4.6,9.5
Diego Melo,M,2009-11-10,9º Ano,1.8,7.6,1.3,8.6
Bruno Teixeira,F,2005-02-05,9º Ano,0.3,5.6,5.3,4.1
Gustavo Melo,M,2013-12-04,9º Ano,3.6,4.9,4.9,6.5
Larissa Barbosa,M,2011-01-04,6º Ano,10.0,9.4,10.0,3.8
Aline Melo,F,2009-03-27,7º Ano,3.5,4.0,3.5,0.3
Pedro Dias,F,2005-10-28,7º Ano,2.3,7.7,7.7,3.0
Pedro Rocha,M,2011-02-17,6º Ano,2.3,5.0,1.1,9.7
Bruno Ribeiro,F,2012-10-14,7º Ano,7.4,4.7,8.4,9.7
Felipe Lima,F,2012-02-15,3º EM,4.1,1.8,0.4,9.4
Camila Araújo,F,2009-07-14,2º EM,6.8,7.0,8.5,2.6
Carlos Rocha,M,2005-04-30,2º EM,5.6,8.1,1.4,8.4
Camila Barbosa,F,2008-08-13,8º Ano,6.9,6.1,,5.3
Camila Santos,F,2007-12-12,8º Ano,9.8,4.8,2.1,0.8
Larissa Silva,F,2010-04-20,3º EM,,4.3,5.1,4.9
Lucas Costa,F,2005-05-16,9º Ano,2.8,4.0,1.7,5.1
Lucas Gomes,M,2013-06-03,8º Ano,5.2,7.6,4.6,
Larissa Carvalho,M,2011-04-20,7º Ano,7.3,8.8,4.4,6.4
Larissa Rocha,F,2008-10-03,,0.8,2.6,6.9,7.0
Ana Carvalho,F,2009-08-24,9º Ano,4.3,7.1,4.2,
Maria Oliveira,M,2008-11-27,1º EM,7.2,5.8,0.8,3.1
Bruno Dias,M,2005-04-08,1º EM,1.3,,7.5,1.6
Beatriz Carvalho,F,2012-03-02,3º EM,8.2,6.5,9.6,1.2
Pedro Gomes,M,2012-02-19,1º EM,8.4,0.9,8.8,0.1
Patricia Barbosa,M,2006-11-03,9º Ano,7.6,7.2,4.0,6.0
Beatriz Lima,M,2009-09-13,2º EM,4.3,4.3,9.6,
Rodrigo Martins,F,2005-09-21,1º EM,6.5,0.2,3.2,8.7
Patricia Costa,M,2013-01-18,7º Ano,5.5,6.9,9.7,3.5
Patricia Ribeiro,F,2012-08-13,2º EM,6.2,2.0,,7.5
Felipe Teixeira,F,2006-08-13,8º Ano,0.8,5.4,5.0,0.1
Patricia Rocha,M,2009-03-05,7º Ano,4.8,0.1,7.7,8.0
Carlos Oliveira,M,2012-07-02,7º Ano,3.1,9.2,4.5,5.4
Larissa Rocha,M,2007-08-21,,3.4,2.8,4.1,2.2
Maria Ribeiro,F,2013-05-06,1º EM,0.8,5.4,6.8,3.6
Larissa Martins,M,2005-11-18,2º EM,6.7,,7.0,4.0
Aline Rocha,M,2012-01-15,,5.0,7.8,0.2,
Rodrigo Ribeiro,F,2005-08-23,6º Ano,6.3,,5.0,2.7
João Dias,M,2013-07-03,6º Ano,,7.5,4.2,9.1
Patricia Pereira,M,2010-10-26,1º EM,6.1,8.0,0.1,8.9
Rodrigo Teixeira,F,2009-05-06,1º EM,6.8,7.6,2.6,0.7
Patricia Gomes,M,2011-01-11,3º EM,8.8,5.1,1.8,4.3
Pedro Gomes,M,2008-06-08,6º Ano,6.1,2.7,7.6,4.8
Ana Ferreira,F,2006-08-22,6º Ano,3.5,7.4,2.0,5.5
Pedro Gomes,M,2012-05-10,1º EM,1.4,0.8,9.9,0.1
Gustavo Ferreira,M,2013-08-30,6º Ano,8.0,8.5,9.5,6.2
Patricia Gomes,M,2008-04-07,8º Ano,2.4,10.0,6.1,5.2
Juliana Santos,M,2013-09-15,8º Ano,1.0,4.5,8.5,8.2
Bruno Gomes,F,2009-05-14,9º Ano,2.3,5.8,4.9,4.0
Rodrigo Ferreira,M,2009-02-18,1º EM,4.1,9.8,6.4,5.3
Rafael Teixeira,F,2006-06-03,1º EM,3.4,6.6,2.8,8.5
Carlos Moreira,F,2011-01-01,1º EM,2.2,7.4,7.0,5.9
Rafael Gomes,M,2008-10-15,6º Ano,1.5,2.3,6.2,9.1
Rodrigo Souza,M,2010-10-20,9º Ano,4.4,,3.5,3.7
Larissa Ferreira,M,2006-05-05,2º EM,4.7,1.1,2.2,1.6
Bruno Barbosa,F,2012-01-23,2º EM,1.5,9.5,1.2,4.5
Lucas Santos,M,2006-11-15,1º EM,4.8,8.4,9.9,7.7
Felipe Martins,M,2013-12-31,6º Ano,4.4,,1.3,6.0
Lucas Martins,M,2011-08-11,9º Ano,8.2,5.6,9.4,4.1
Larissa Oliveira,,2009-05-02,9º Ano,0.4,0.1,3.5,0.0
Ana Pereira,M,2009-11-06,1º EM,0.6,3.6,7.8,5.4
Pedro Moreira,M,2005-09-12,7º Ano,,5.7,6.6,0.1
Beatriz Dias,M,2013-04-25,9º Ano,,5.3,1.0,2.9
Diego Melo,F,2006-07-12,1º EM,2.2,6.4,4.6,2.9
Beatriz Santos,M,2010-02-06,7º Ano,3.3,7.7,8.8,6.7
Felipe Silva,F,2012-06-30,2º EM,9.7,1.5,6.7,6.6
Mariana Pereira,F,2005-03-26,6º Ano,0.1,5.8,3.8,9.3
Mariana Pereira,F,2008-12-02,7º Ano,5.2,,5.2,4.5
Ana Barbosa,F,2010-01-17,8º Ano,5.1,2.3,4.4,2.6
Bruno Souza,M,2013-04-13,6º Ano,5.1,6.1,1.2,9.8
Maria Santos,F,2013-04-20,1º EM,5.2,2.7,0.7,7.8
Diego Ribeiro,F,2013-01-28,3º EM,4.9,5.5,3.9,
Beatriz Moreira,F,2012-12-22,9º Ano,8.5,3.6,3.5,1.2
Fernanda Ribeiro,F,2012-07-02,2º EM,4.4,3.3,0.9,2.7
Maria Carvalho,M,2010-01-22,3º EM,10.0,3.5,3.7,4.9
Larissa Souza,M,2008-05-29,8º Ano,9.5,3.4,7.3,4.9
Fernanda Almeida,F,2009-10-24,7º Ano,9.9,4.5,0.2,4.9
Larissa Souza,F,2013-11-15,7º Ano,2.1,6.1,4.4,8.1
Larissa Santos,F,2013-09-07,8º Ano,2.8,7.1,2.7,8.5
Gustavo Santos,F,2005-04-26,7º Ano,4.9,6.9,9.7,1.1
João Barbosa,F,2006-10-12,6º Ano,5.4,6.3,6.9,1.8
Bruno Rocha,M,2010-11-07,3º EM,2.3,6.0,0.6,6.3
Ana Pereira,M,2008-08-23,7º Ano,4.1,5.6,7.0,10.0
Felipe Melo,F,2010-10-18,7º Ano,9.6,0.2,2.1,3.5
Mariana Melo,F,2010-10-10,9º Ano,8.1,5.4,7.3,1.2
Pedro Pereira,F,2011-03-30,2º EM,9.4,,2.3,0.3
Juliana Souza,M,2006-07-17,8º Ano,0.9,1.9,5.7,3.2
Juliana Souza,F,2008-11-08,1º EM,1.9,9.7,0.6,9.6
Beatriz Barbosa,M,2010-08-11,9º Ano,8.6,4.6,8.7,6.8
Aline Carvalho,M,2006-03-06,1º EM,7.7,4.4,,5.9
João Lima,M,2011-02-13,8º Ano,7.5,4.0,6.1,8.1
Mariana Pereira,F,2013-02-23,1º EM,5.9,5.0,3.9,9.0
Pedro Ribeiro,F,2009-02-20,1º EM,6.0,9.6,5.4,5.0
Lucas Pereira,F,2007-07-11,2º EM,5.2,6.2,1.9,9.9
Pedro Teixeira,M,2011-05-25,1º EM,1.3,7.1,3.0,6.6
Patricia Gomes,F,2008-10-24,6º Ano,9.2,7.0,,3.8
Aline Carvalho,M,2006-01-16,2º EM,,0.4,6.8,10.0
Juliana Silva,M,2008-01-19,2º EM,1.4,6.9,4.9,1.7
Camila Gomes,F,2010-09-05,9º Ano,0.3,4.3,9.2,6.9
Felipe Oliveira,F,2007-09-24,7º Ano,2.1,4.6,4.6,7.6
Diego Santos,F,2007-04-13,7º Ano,7.6,9.0,8.3,3.6
Lucas Dias,M,2008-08-12,9º Ano,1.1,6.0,9.4,7.6
Fernanda Santos,F,2007-12-20,6º Ano,5.5,9.1,,0.6
Beatriz Ribeiro,F,2009-06-19,6º Ano,3.7,5.9,9.5,3.7
Maria Ferreira,M,2005-06-26,7º Ano,6.9,0.8,1.9,0.5
Mariana Carvalho,M,2010-08-13,1º EM,1.8,0.5,7.5,0.6
Mariana Souza,M,2005-11-26,3º EM,3.3,9.5,2.0,6.6
Larissa Rocha,F,2007-03-19,9º Ano,9.1,6.0,3.9,7.8
Larissa Dias,M,2010-09-01,1º EM,1.2,3.5,9.2,1.8
Aline Martins,F,2007-03-29,7º Ano,3.9,5.3,,3.9
Rafael Dias,F,2013-07-03,7º Ano,6.1,3.6,5.6,1.5
Aline Souza,M,2005-03-12,8º Ano,0.5,1.0,0.6,3.0
Patricia Carvalho,M,2007-03-07,3º EM,,9.6,7.8,9.9
Fernanda Santos,,2008-01-04,3º EM,3.3,3.5,2.2,9.0
Ana Dias,F,2011-05-02,3º EM,3.5,0.7,8.6,7.5
Carlos Carvalho,F,2007-08-04,6º Ano,2.5,4.0,5.8,5.1
Beatriz Rocha,F,2005-12-15,8º Ano,9.0,4.4,0.9,3.8
Diego Almeida,F,2011-09-25,9º Ano,5.7,1.1,2.4,7.5
Camila Gomes,M,2008-07-22,7º Ano,0.3,7.5,,1.2
Felipe Silva,F,2005-12-10,2º EM,5.8,1.9,6.9,8.0
Felipe Pereira,F,2008-10-29,9º Ano,3.6,3.6,3.6,7.6
Larissa Teixeira,F,2011-03-22,3º EM,6.1,9.7,0.2,6.6
Rodrigo Santos,M,2011-01-12,6º Ano,5.1,1.4,3.2,0.7
Juliana Dias,F,2006-07-01,7º Ano,3.6,2.0,6.2,5.8
Rodrigo Silva,,,1º EM,7.8,1.3,8.7,7.0
Maria Almeida,M,2006-07-09,3º EM,,9.0,3.8,4.6
Juliana Oliveira,M,2013-10-25,6º Ano,7.4,9.3,1.1,3.7
Lucas Carvalho,M,2010-06-06,1º EM,4.1,7.7,9.2,7.4
Lucas Melo,F,2010-07-10,7º Ano,4.5,0.1,3.1,9.0
Larissa Araújo,F,2013-03-12,8º Ano,2.6,7.0,,5.9
Pedro Ferreira,M,2009-06-20,3º EM,2.0,3.7,8.8,9.1
Ana Carvalho,M,2013-09-18,6º Ano,1.8,5.8,4.4,4.7
Patricia Silva,F,2005-04-26,7º Ano,6.5,4.4,4.4,8.3
Rodrigo Ferreira,M,2007-11-19,2º EM,9.9,1.7,6.2,2.8
Rodrigo Martins,M,2013-01-02,6º Ano,0.3,5.4,0.7,3.4
Ana Lima,M,2011-06-26,8º Ano,9.0,7.0,3.1,1.3
Fernanda Almeida,F,2010-06-15,7º Ano,1.9,0.9,0.5,7.1
João Carvalho,M,2008-10-26,1º EM,5.1,,7.1,6.0
Lucas Teixeira,F,2009-06-10,2º EM,2.2,5.7,4.5,0.1
Juliana Lima,F,2007-07-08,8º Ano,9.4,6.0,8.9,8.4
Felipe Martins,F,2010-08-16,1º EM,0.9,5.9,6.5,8.5
Carlos Lima,M,2006-06-01,7º Ano,1.7,0.1,7.1,9.7
Patricia Teixeira,F,2011-11-03,2º EM,6.8,8.3,3.8,5.0
Rafael Santos,F,2012-02-14,9º Ano,4.5,4.3,1.7,0.2
Lucas Lima,F,2005-01-25,6º Ano,3.0,8.5,6.7,6.1
Ana Gomes,M,2013-11-26,9º Ano,3.7,7.0,5.6,5.9
Patricia Melo,X,2013-11-12,8º Ano,4.9,5.1,5.5,6.0
Carlos Ferreira,M,2011-09-29,2º EM,2.7,0.3,4.2,5.1
João Dias,M,2011-11-01,1º EM,0.5,0.3,8.6,7.9
Lucas Almeida,F,2010-07-19,3º EM,2.2,2.7,4.2,7.0
Gustavo Santos,M,2008-11-07,2º EM,6.1,5.1,5.9,5.9
Rodrigo Gomes,F,2012-10-20,8º Ano,0.7,9.5,6.0,4.2
Rafael Lima,F,2011-07-23,3º EM,9.2,3.0,4.0,8.9
Bruno Pereira,F,2006-05-17,,9.5,6.9,6.6,9.5
Rafael Dias,F,2012-10-02,1º EM,2.7,,,1.6
João Barbosa,M,2005-08-03,1º EM,8.9,3.4,9.1,4.4
Lucas Souza,F,2009-01-17,9º Ano,4.3,9.1,9.5,0.8
,F,2010-03-03,6º Ano,3.9,5.2,7.0,3.3
Bruno Moreira,F,2009-01-22,9º Ano,9.7,8.8,6.4,2.3
Rodrigo Araújo,F,2012-07-03,9º Ano,3.5,5.3,2.7,9.3
Diego Gomes,F,2009-09-20,1º EM,5.1,4.2,1.3,9.9
Carlos Rocha,F,2008-07-16,7º Ano,7.6,6.9,2.5,2.6
Fernanda Pereira,M,2009-01-09,2º EM,7.8,0.8,4.1,8.4
Bruno Ferreira,M,2007-06-07,7º Ano,0.9,8.4,9.5,3.9
Maria Costa,F,2013-08-22,2º EM,6.2,0.2,1.3,5.6
Maria Moreira,M,2010-01-14,8º Ano,1.5,3.5,2.7,3.8
Lucas Pereira,M,2008-11-06,9º Ano,5.5,7.8,7.8,8.1
Aline Silva,F,2013-06-15,8º Ano,1.3,8.5,10.0,1.7
Gustavo Ferreira,M,2007-02-28,7º Ano,6.1,9.4,9.8,2.7
Beatriz Melo,F,,7º Ano,5.4,4.1,2.5,9.0
Juliana Dias,F,2009-04-16,6º Ano,0.4,0.1,9.9,3.9
Carlos Pereira,F,2005-09-13,8º Ano,3.5,,3.4,9.4
Rodrigo Santos,F,2009-08-26,6º Ano,2.8,0.4,7.7,9.9
Camila Moreira,F,2009-03-18,6º Ano,8.8,9.5,5.6,1.4
Larissa Martins,F,2010-08-12,7º Ano,,,0.4,5.9
Ana Costa,M,2007-12-24,7º Ano,8.6,3.3,2.0,3.2
Camila Costa,F,2006-12-18,8º Ano,8.5,9.0,9.4,4.3
Carlos Barbosa,F,2011-04-09,8º Ano,5.7,8.4,6.0,0.7
Pedro Costa,F,2009-03-22,3º EM,6.7,6.2,5.9,4.6
Patricia Costa,M,2009-02-18,7º Ano,,5.1,7.8,9.6
Pedro Pereira,M,2005-10-11,8º Ano,3.8,7.9,8.2,9.8
Ana Araújo,M,2008-04-27,3º EM,0.1,8.8,8.5,7.7
Bruno Souza,F,2006-05-17,6º Ano,3.0,,4.7,4.8
Ana Rocha,F,2007-12-24,1º EM,9.0,5.7,3.7,1.8
João Martins,M,2010-08-22,2º EM,2.3,,,1.3
Camila Costa,F,2011-10-16,3º EM,1.2,7.8,4.1,8.9
Pedro Moreira,Masculino,2008-08-12,8º Ano,9.9,7.8,3.0,1.4
Juliana Carvalho,M,2005-08-13,3º EM,5.5,8.1,2.2,2.8
Camila Santos,F,2009-04-08,1º EM,6.4,8.1,7.4,8.2
Rafael Carvalho,M,2005-07-31,2º EM,2.5,9.3,0.3,0.6
Beatriz Gomes,,2011-07-29,9º Ano,0.9,0.1,1.5,7.5
Beatriz Ferreira,F,2009-05-10,3º EM,5.6,9.3,6.6,0.1
Felipe Lima,M,2008-05-07,7º Ano,3.9,8.1,,9.1
Diego Ribeiro,M,2006-03-17,2º EM,6.7,7.4,4.3,7.5
Gustavo Barbosa,M,2010-03-22,9º Ano,2.5,8.8,6.5,0.7
Patricia Barbosa,M,2011-06-08,7º Ano,4.8,7.7,2.8,6.0
Mariana Martins,F,2013-08-02,9º Ano,7.5,1.8,,7.5
Patricia Oliveira,F,2012-12-03,2º EM,3.9,5.0,4.9,2.0
Diego Silva,F,2008-08-22,6º Ano,9.5,9.4,6.1,1.8
Rodrigo Teixeira,F,2007-09-21,1º EM,1.1,1.2,6.5,9.7
Felipe Pereira,F,2012-04-03,1º EM,0.7,9.1,10.0,8.1
Lucas Oliveira,M,2009-12-30,9º Ano,2.8,5.1,0.4,9.6
Juliana Rocha,F,2007-12-26,3º EM,2.2,7.6,1.2,9.8
Mariana Souza,M,2009-12-05,2º EM,5.7,7.6,3.2,9.7
João Costa,F,2011-04-25,9º Ano,7.4,4.7,7.0,4.1
Rafael Rocha,F,2011-05-30,6º Ano,3.8,,1.2,7.5
Beatriz Santos,F,2008-11-10,2º EM,9.2,5.1,1.3,4.0
Diego Costa,,2007-10-15,7º Ano,6.3,5.4,8.4,0.7
Rodrigo Rocha,M,2012-09-29,3º EM,9.4,3.5,6.8,7.0
Rodrigo Almeida,F,2010-02-09,9º Ano,6.0,6.0,3.9,3.5
